feature	id	fc	pval	qval	gene_name
gene	CHS.123407	0.486680674433678	0.0314400017989397	0.246414882000189	RPL21P20
gene	CHS.123505	0.838126395430059	0.50805431231427	0.802146580128378	RPL7P10
gene	CHS.124781	0.926573963633526	0.691113749324734	0.894020524495582	RPS3AP16
gene	CHS.124914	0.897757641798784	0.529721371149168	0.813860398982481	RPL6P13
gene	CHS.125226	0.349088054785728	0.00315607872597412	0.115051766430195	LOC100289244
gene	CHS.125256	0.29940969019951	0.00314973443868927	0.115051766430195	RPS20P3
gene	CHS.125568	1.29917357512162	0.172198526377326	0.515457882402726	KRT19P1
gene	CHS.125732	0.830624716888538	0.475662022125258	0.784883099875438	GAPDHP72
gene	CHS.125748	0.993828843778928	0.977750134454718	0.995264360703559	GAPDHP68
gene	CHS.126222	0.551721540521433	0.0196126963086385	0.205084266848802	RPL5P22
gene	CHS.126354	0.349747916026112	0.0035717740966581	0.120132056572157	RPS2P33
gene	CHS.126377	0.708446902088384	0.638675570209274	0.871583292133698	RPS6P9
gene	CHS.127320	1.57658066763538	0.220531987011206	0.574367639679319	ASS1P14
gene	CHS.128206	1.37401380333808	0.2540344053067	0.609666666409991	IGHV7-56
gene	CHS.128983	0.942520063024289	0.770313548928875	0.929423473823367	LOC105371898
gene	CHS.129669	1.07962859156334	0.854908136987653	0.960879252737769	RPS10P29
gene	CHS.129728	0.452344740633573	0.0143233120830579	0.190867160804278	KRT18P23
gene	CHS.130720	1.37401271613753	0.254035787375312	0.609666666409991	IGHV7-56
gene	CHS.52058	0.592885581123625	0.077206850952295	0.358853001698638	MTRNR2L6
gene	CHS.52453	0.592885581708893	0.0772068519124576	0.358853001698638	MTRNR2L6
gene	CHS.54159	0.990634378623395	0.975753670134368	0.995049120524485	RIMS2
gene	MSTRG.1	1.59179291545769	0.0784773239534166	0.361352018282587	RPS6KA1
gene	MSTRG.100	0.889507598511128	0.657137869272506	0.87985218327798	LOC100130111
gene	MSTRG.10016	0.839572610482968	0.485198681934318	0.790416571006862	MSTRG.10016
gene	MSTRG.10018	0.968707882415212	0.91118857541853	0.976014845878362	LOC100288778
gene	MSTRG.1002	1.80747989579418	0.198180893068959	0.546667277554428	LAPTM5
gene	MSTRG.1003	6.15936954840547	0.000109067386822259	0.0228983045509772	SDC3
gene	MSTRG.10036	2.23768063243066	0.00265217462852663	0.108184846744337	CCDC92
gene	MSTRG.1004	0.74904378368159	0.479017253277264	0.787866313376814	PUM1
gene	MSTRG.10064	1.140029827199	0.746629720425457	0.919426004304333	TUBA3C
gene	MSTRG.10065	1.10030718575521	0.745463097838919	0.918718347817915	LOC101928697
gene	MSTRG.10075	0.84838092878552	0.576923002077717	0.839763797478583	MPHOSPH8
gene	MSTRG.10076	1.23229749480732	0.398428390710434	0.733381103388358	PSPC1
gene	MSTRG.10078	0.506428656428	0.177967011777929	0.521267683984233	MSTRG.10078
