feature	id	fc	pval	qval	gene_name
gene	CHS.123352	0.725966960171074	0.0393508921153913	0.269434792398721	LOC101060363
gene	CHS.123359	0.518122886173096	0.023344216967308	0.212796492434376	LOC100420494
gene	CHS.123434	0.887245701977093	0.494865338831861	0.797077231003107	RPL6P1
gene	CHS.123505	0.758093969159697	0.296886122927723	0.643083944564887	RPL7P10
gene	CHS.123820	0.781287650470507	0.143496321781941	0.466679285436889	RPS3AP7
gene	CHS.124123	1.19532520136286	0.562914611764541	0.834657860817487	LOC107985799
gene	CHS.124369	0.711978941935018	0.234993765952048	0.582701535086351	RPL31P17
gene	CHS.124616	0.951285747922779	0.783499229796223	0.933565386760256	NAP1L1P3
gene	CHS.125216	0.886941375417795	0.59826014372225	0.851872530475889	RPL39P20
gene	CHS.125226	0.641803561167184	0.0468089487914131	0.287266219315319	LOC100289244
gene	CHS.125245	1.29871138734575	0.172400165695568	0.506818111846319	LOC402221
gene	CHS.125256	0.588261229436299	0.183289856628583	0.521059148325562	RPS20P3
gene	CHS.125287	0.828044852746654	0.559795838517115	0.833753248738812	SUMO1P5
gene	CHS.125315	0.667304090551812	0.308852675276769	0.653283272177373	RPL7P19
gene	CHS.125440	1.36632151470666	0.130031943173084	0.443967307755549	KRT18P38
gene	CHS.125617	0.834573477697088	0.270073315954422	0.620584627939603	RPS7P8
gene	CHS.125748	0.667418229426605	0.0642274570152684	0.326036469407754	GAPDHP68
gene	CHS.125969	0.779443647138355	0.145795929591193	0.470181663132605	RPSAP46
gene	CHS.126135	0.815206754560783	0.591042237864581	0.848666124235036	COX6B1P1
gene	CHS.126310	0.647827660903417	0.0151612117531958	0.179026698373891	RPS5P5
gene	CHS.126354	0.764620613086946	0.339710081547369	0.681729504768147	RPS2P33
gene	CHS.126437	0.712216805748399	0.113111197885111	0.418008082347396	PRDX1P1
gene	CHS.126753	0.602835864755952	0.0966356836676319	0.39036087364574	RPS4XP11
gene	CHS.127281	0.853493155706712	0.435897989413132	0.756480788681548	RPS6P1
gene	CHS.127320	0.953872647750489	0.903147595346841	0.97254660578754	ASS1P14
