feature	id	fc	pval	qval	gene_name
gene	CHS.123407	0.931222501680179	0.650095428437928	0.850589216619646	RPL21P20
gene	CHS.123434	0.930813890788188	0.507179739585052	0.767379197088573	RPL6P1
gene	CHS.123505	0.961751893630282	0.76741332242461	0.907053278825965	RPL7P10
gene	CHS.123820	0.962750409493982	0.817050228039655	0.933192295653595	RPS3AP7
gene	CHS.124345	0.76695685754241	0.0802155197505071	0.323391972743762	PPP1R14BP2
gene	CHS.124702	0.693533076105554	0.00102777364380358	0.0261699707491635	LOC131055
gene	CHS.125245	1.00697187424274	0.949666000349042	0.98621559448688	LOC402221
gene	CHS.125256	0.730028154144681	0.133259982105448	0.417737199292654	RPS20P3
gene	CHS.126354	0.772037299784523	0.157960587289529	0.455870292394297	RPS2P33
gene	CHS.126889	0.889528258860963	0.359894467311412	0.659780455428932	RPS3AP36
gene	CHS.127433	1.1212235214914	0.517008206636596	0.773330937622689	RPL26P32
gene	CHS.129008	1.08368541073895	0.403288405594101	0.693264017229074	PPIAP14
gene	CHS.129728	0.864008327020718	0.447092715515133	0.724821715967719	KRT18P23
gene	CHS.130079	0.809767702154612	0.241683260245	0.552493335630197	RPL7P56
gene	CHS.52058	0.904657527153678	0.638226412067189	0.842501211362293	MTRNR2L6
gene	CHS.52453	0.904679677464138	0.638306882252817	0.842501211362293	MTRNR2L6
gene	CHS.58111	0.983984596925542	0.9412900840579	0.983735675891683	MTRNR2L10
gene	MSTRG.1001	1.14386940291737	0.542348530078154	0.790030203911194	YTHDF2
gene	MSTRG.10012	0.887085551775557	0.336405025361431	0.640894173362924	LOC100506844
gene	MSTRG.10015	0.977892360831742	0.833782462023286	0.941763393154648	LOC100288778
gene	MSTRG.1002	0.919616628817328	0.586849485678649	0.812583173818838	EPB41
gene	MSTRG.10033	1.15259384185049	0.336214067393557	0.640877997117858	CCDC92
gene	MSTRG.1004	0.791045754627449	0.165055983598988	0.464070978103797	MSTRG.1004
gene	MSTRG.1005	1.26913851053348	0.300531455552241	0.607932476025194	TMEM200B
gene	MSTRG.10059	0.789938925479767	0.0302186732037506	0.19980005715437	FAM207BP
gene	MSTRG.10064	1.43476470831429	0.122902070579717	0.40156242336681	TUBA3C
gene	MSTRG.10065	1.3383680200994	0.130946928629609	0.4142270264854	LOC101928697
gene	MSTRG.1007	0.997329781375189	0.987405953529207	0.997761458644683	SRSF4
gene	MSTRG.10075	1.16562414713046	0.283208523010332	0.593181704517667	MPHOSPH8
